Total Pink Salmon adult biomass																	Total Chum Salmon adult biomass																	Total Sockeye Salmon adult biomass																				
																																																			Supplementary Table 16. Adult biomass (catch and escapement in thousands of metric tons) of each species across the Pacific Rim 1952-2015.			
Supplementary Table 13. Biomass (catch and escapement in metric tons) of total Pink Salmon returning  to regions of Asia and North America 1952-2015.																	Supplementary Table 14. Biomass (catch and escapement in metric ton) of total  Chum Salmon returning to regions of Asia and North America 1952-2015.																	Supplementary Table 15. Biomass (catch and escapement in metric tons) of total  Sockeye Salmon returning  to regions of Asia and North America 1952-2015.																				
																																																						
Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WA	TOTAL		Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WA	TOTAL		Year	Korea	Japan	M&I	WKam	EKam	WAK	SPen	Kod	CI	PWS	SEAK	NBC	SBC	WC	TOTAL		Pink	Chum	Sockeye	Total
1952.00	0.00	2256.00	38059.00	157731.00	22374.00	6346.00	4351.00	10623.00	7051.00	5473.00	34938.00	20699.00	10069.00	0.00	319970.00		1952.00	0.00	7791.00	71350.00	13859.00	13438.00	15066.00	6166.00	6040.00	4398.00	2910.00	28379.00	12416.00	15725.00	8614.00	206153.00		1952.00	0.00	0.00	497.00	13321.00	909.00	60874.00	1096.00	4122.00	6002.00	5115.00	3311.00	5577.00	11496.00	799.00	113117.00		320	206	113	639
1953.00	0.00	2561.00	64295.00	336016.00	36620.00	460.00	9648.00	11728.00	2100.00	5143.00	20158.00	9135.00	41042.00	13768.00	552675.00		1953.00	0.00	7725.00	72326.00	13764.00	7425.00	15582.00	7935.00	3180.00	5042.00	2130.00	25040.00	18884.00	16203.00	5081.00	200319.00		1953.00	0.00	0.00	369.00	10194.00	409.00	31468.00	1780.00	2892.00	5941.00	3113.00	4958.00	12428.00	23711.00	1282.00	98545.00		553	200	99	852
1954.00	0.00	2011.00	66959.00	95890.00	18534.00	6375.00	7599.00	17379.00	7425.00	6836.00	32298.00	18866.00	6330.00	0.00	286502.00		1954.00	0.00	12950.00	104638.00	27773.00	12982.00	16794.00	7416.00	6069.00	6755.00	2437.00	28715.00	22232.00	21313.00	7236.00	277310.00		1954.00	0.00	0.00	514.00	11908.00	2650.00	26016.00	1441.00	2927.00	5198.00	4774.00	4395.00	6233.00	53172.00	2517.00	121743.00		287	277	122	686
1955.00	0.00	5559.00	113867.00	188919.00	39247.00	460.00	8950.00	21378.00	4247.00	6837.00	33557.00	8535.00	34625.00	10538.00	476719.00		1955.00	0.00	9533.00	143515.00	39355.00	26871.00	14248.00	5445.00	2889.00	3357.00	2437.00	13647.00	6595.00	8768.00	4447.00	281106.00		1955.00	0.00	0.00	1120.00	20150.00	11106.00	25321.00	2096.00	2281.00	4624.00	3336.00	2692.00	5605.00	17488.00	664.00	96483.00		477	281	96	854
1956.00	0.00	4493.00	152050.00	137014.00	6121.00	6260.00	9757.00	8258.00	5823.00	9661.00	46189.00	17073.00	4142.00	0.00	406841.00		1956.00	0.00	6559.00	165403.00	26525.00	26325.00	16725.00	8711.00	3862.00	7409.00	2744.00	20472.00	12167.00	8415.00	2792.00	308111.00		1956.00	0.00	0.00	884.00	16242.00	9380.00	66965.00	3742.00	2693.00	5477.00	3529.00	3295.00	8749.00	17788.00	653.00	139396.00		407	308	139	854
1957.00	0.00	2853.00	99477.00	272095.00	108625.00	460.00	4328.00	10794.00	1288.00	2392.00	26084.00	10762.00	19740.00	7499.00	566397.00		1957.00	0.00	12960.00	106994.00	9150.00	12244.00	15354.00	7281.00	5904.00	9669.00	3491.00	24353.00	15585.00	13941.00	2914.00	239840.00		1957.00	0.00	0.00	3427.00	29668.00	11085.00	49792.00	2140.00	2537.00	3308.00	3169.00	3858.00	4764.00	14089.00	911.00	128748.00		566	240	129	935
1958.00	0.00	7236.00	152335.00	15251.00	15662.00	6281.00	5925.00	9739.00	7390.00	12592.00	35041.00	17386.00	5315.00	0.00	290153.00		1958.00	0.00	18847.00	126465.00	8607.00	15050.00	15609.00	5568.00	4799.00	5478.00	3420.00	20948.00	18341.00	12687.00	5138.00	260956.00		1958.00	0.00	0.00	1252.00	18335.00	16257.00	19128.00	1701.00	2765.00	2669.00	2066.00	3632.00	8071.00	56586.00	2323.00	134784.00		290	261	135	686
1959.00	0.00	2770.00	100836.00	56879.00	128579.00	460.00	4209.00	5300.00	671.00	6836.00	29121.00	12179.00	10366.00	5681.00	363887.00		1959.00	0.00	9712.00	105599.00	25324.00	22190.00	17123.00	4568.00	3984.00	4097.00	2835.00	12174.00	7263.00	17999.00	5403.00	238270.00		1959.00	0.00	0.00	1106.00	14719.00	15719.00	37085.00	2176.00	2949.00	3191.00	1994.00	3208.00	6844.00	25523.00	997.00	115511.00		364	238	116	718
1960.00	0.00	3749.00	59793.00	20639.00	34548.00	7174.00	5654.00	13317.00	5674.00	8411.00	11775.00	16628.00	1338.00	0.00	188699.00		1960.00	0.00	9201.00	132465.00	11654.00	12179.00	20750.00	5656.00	5545.00	5985.00	1993.00	9062.00	9406.00	12012.00	2642.00	238552.00		1960.00	0.00	0.00	1241.00	16102.00	18024.00	91432.00	3242.00	2963.00	4145.00	2295.00	1960.00	5254.00	20080.00	732.00	167469.00		189	239	167	595
1961.00	0.00	2311.00	53261.00	43115.00	84183.00	534.00	8595.00	11767.00	1764.00	17460.00	37470.00	30248.00	26610.00	3528.00	320847.00		1961.00	0.00	14225.00	100829.00	9043.00	11425.00	16114.00	5234.00	3047.00	4043.00	1582.00	16071.00	10091.00	8786.00	2326.00	202816.00		1961.00	0.00	0.00	1247.00	25912.00	7662.00	68789.00	1983.00	3447.00	5400.00	3396.00	2978.00	11435.00	23246.00	850.00	156346.00		321	203	156	680
1962.00	0.00	3095.00	31978.00	34502.00	22664.00	4540.00	9107.00	23051.00	10126.00	17130.00	32038.00	69425.00	3476.00	0.00	261130.00		1962.00	0.00	16127.00	98915.00	8070.00	13253.00	16978.00	6460.00	4162.00	9117.00	4077.00	14183.00	15327.00	7020.00	2857.00	216548.00		1962.00	0.00	0.00	1328.00	29014.00	8922.00	32760.00	2219.00	4844.00	5085.00	3747.00	2862.00	12625.00	16723.00	519.00	120648.00		261	217	121	598
1963.00	0.00	3537.00	63764.00	59421.00	81739.00	469.00	11313.00	13113.00	1110.00	15795.00	42769.00	29470.00	15853.00	17714.00	356068.00		1963.00	0.00	18184.00	93790.00	5957.00	16226.00	11780.00	5123.00	2158.00	5198.00	4538.00	10357.00	12602.00	9468.00	2869.00	198251.00		1963.00	0.00	0.00	944.00	14920.00	11210.00	21295.00	2431.00	3282.00	4391.00	2506.00	2259.00	15516.00	15287.00	815.00	94857.00		356	198	95	649
